finish_timestamp,start_timestamp,predicted_state,invalid,p_drilling,p_in_slips,p_off_bottom,p_reaming,p_shut_in,p_trip_in_slips
1247009623.0,1247009578.0,drilling,false,1,0,0,0,0,0
1247009626.0,1247009581.0,drilling,false,1,0,0,0,0,0
1247009629.0,1247009584.0,drilling,false,1,0,0,0,0,0
1247009632.0,1247009587.0,drilling,false,1,0,0,0,0,0
1247009635.0,1247009590.0,drilling,false,1,0,0,0,0,0
1247009638.0,1247009593.0,drilling,false,1,0,0,0,0,0
1247009641.0,1247009596.0,drilling,false,1,0,0,0,0,0
1247009644.0,1247009599.0,drilling,false,1,0,0,0,0,0
1247009647.0,1247009602.0,drilling,false,1,0,0,0,0,0
1247009650.0,1247009605.0,drilling,false,1,0,0,0,0,0
1247009653.0,1247009608.0,drilling,false,1,0,0,0,0,0
1247009656.0,1247009611.0,drilling,false,1,0,0,0,0,0
1247009659.0,1247009614.0,drilling,false,1,0,0,0,0,0
1247009662.0,1247009617.0,drilling,false,1,0,0,0,0,0
1247009665.0,1247009620.0,drilling,false,1,0,0,0,0,0
1247009668.0,1247009623.0,drilling,false,1,0,0,0,0,0
1247009671.0,1247009626.0,drilling,false,1,0,0,0,0,0
1247009674.0,1247009629.0,drilling,false,1,0,0,0,0,0
1247009677.0,1247009632.0,drilling,false,1,0,0,0,0,0
1247009680.0,1247009635.0,drilling,false,1,0,0,0,0,0
1247009683.0,1247009638.0,drilling,false,1,0,0,0,0,0
1247009686.0,1247009641.0,drilling,false,1,0,0,0,0,0
1247009695.0,1247009644.0,drilling,false,1,0,0,0,0,0
1247009698.0,1247009647.0,drilling,false,1,0,0,0,0,0
1247009701.0,1247009650.0,drilling,false,1,0,0,0,0,0
1247009704.0,1247009653.0,drilling,false,1,0,0,0,0,0
1247009707.0,1247009656.0,drilling,false,1,0,0,0,0,0
1247009710.0,1247009659.0,drilling,false,1,0,0,0,0,0
1247009713.0,1247009662.0,drilling,false,1,0,0,0,0,0
1247009716.0,1247009665.0,drilling,false,1,0,0,0,0,0
1247009719.0,1247009668.0,drilling,false,1,0,0,0,0,0
1247009722.0,1247009671.0,drilling,false,1,0,0,0,0,0
1247009725.0,1247009674.0,drilling,false,1,0,0,0,0,0
1247009728.0,1247009677.0,drilling,false,1,0,0,0,0,0
1247009731.0,1247009680.0,drilling,false,1,0,0,0,0,0
